Player_Name,Era_ID,Era_Label,Archetype_ID,Archetype_Label,Seasons_Played,Career_Games,Playoff_Seasons,Playoff_Games,Championships,Finals_MVP,All_NBA_Teams,All_Defensive_Teams,Career_PPG,Playoff_PPG,Career_PER,Peak_5Yr_PER,Playoff_PER,Career_BPM,Playoff_BPM,Career_TS_Pct,Career_WS_per_48,Playoff_WS_per_48,Athletic_Raw_Rank,Yahoo_Raw_Rank,BR_Raw_Rank,All_NBA_PS,Modern_Athletic_Raw_Rank,Modern_Yahoo_Raw_Rank,Modern_BR_Raw_Rank,Modern_Consensus_Rank,Custom_Index_Score,Custom_Model_Rank,Rank_Deviation
Hakeem Olajuwon,3,1990-1999,1,Two-Way Paint Beast,18,1238,15,145,2,2,12,9,21.8,25.9,37.7,45.3,39.6,3.3,3.6,0.553,0.289,0.275,11,14,12,0.6666666666666666,9,12,10,10.333333333333334,35.367162100251306,11,0.6666666666666661
Stephen Curry,5,2010-2019,4,Pure Sharpshooter / Off-Ball Weapon,17,1069,10,155,4,1,10,0,24.8,26.8,38.7,42.6,40.6,3.7,4.1,0.626,0.294,0.279,12,13,10,0.5882352941176471,10,11,8,9.666666666666666,34.043367765383245,12,2.333333333333334
Magic Johnson,2,1980-1989,2,Point Forward / Playmaker,13,906,13,190,5,3,10,0,19.5,19.5,40.4,44.0,42.4,2.9,3.2,0.61,0.302,0.287,5,6,4,0.7692307692307693,4,5,4,4.333333333333333,33.44226168725876,13,8.666666666666668
David Robinson,3,1990-1999,1,Two-Way Paint Beast,14,987,12,123,2,0,10,8,21.1,18.1,37.1,45.5,39.0,3.2,3.5,0.583,0.286,0.272,21,19,19,0.7142857142857143,17,17,15,16.333333333333332,29.550537449431033,14,-2.333333333333332
Charles Barkley,3,1990-1999,2,Point Forward / Playmaker,16,1073,13,123,0,0,11,0,22.1,23.0,41.0,46.3,43.1,3.3,3.6,0.612,0.305,0.29,23,30,25,0.6875,19,25,21,21.666666666666668,28.295185629391415,15,-6.666666666666668
Nikola Jokic,6,2020-2029,2,Point Forward / Playmaker,11,810,8,100,1,1,6,0,22.2,27.4,45.8,55.0,48.1,3.3,3.6,0.641,0.329,0.313,28,21,17,0.5454545454545454,22,18,13,17.666666666666668,28.203138579545595,16,-1.6666666666666679
Dirk Nowitzki,4,2000-2009,2,Point Forward / Playmaker,21,1522,15,145,1,1,12,0,20.7,25.3,33.8,42.2,35.5,3.1,3.4,0.577,0.269,0.256,20,17,18,0.5714285714285714,16,15,14,15.0,26.613506528749717,17,2.0
James Harden,5,2010-2019,0,Heliocentric Scorer,17,1221,17,187,0,0,10,0,24.0,22.3,40.6,50.4,42.6,3.6,4.0,0.608,0.303,0.288,34,28,34,0.5882352941176471,26,24,28,26.0,25.952000066838302,18,-8.0
George Gervin,2,1980-1989,0,Heliocentric Scorer,10,791,9,59,0,0,9,0,26.2,27.0,36.9,41.5,38.7,3.9,4.3,0.572,0.284,0.27,43,43,42,0.9,33,34,33,33.333333333333336,24.25948462608306,19,-14.333333333333336
Elvin Hayes,1,1970-1979,1,Two-Way Paint Beast,16,1303,10,96,1,0,6,2,21.0,22.9,30.3,35.7,31.8,3.2,3.5,0.491,0.252,0.239,42,60,47,0.375,32,47,36,38.333333333333336,22.81235665089514,20,-18.333333333333336
Luka Doncic,6,2020-2029,0,Heliocentric Scorer,8,514,5,55,0,0,5,0,29.2,30.9,50.1,52.5,52.6,4.4,4.8,0.592,0.351,0.333,53,74,57,0.625,41,59,45,48.333333333333336,19.663781722453336,21,-27.333333333333336
Kevin Garnett,4,2000-2009,2,Point Forward / Playmaker,21,1462,14,143,1,0,9,12,17.8,18.2,32.3,46.0,33.9,2.7,3.0,0.546,0.261,0.248,18,16,16,0.42857142857142855,14,14,12,13.333333333333334,18.919717152717862,22,8.666666666666666
Allen Iverson,4,2000-2009,0,Heliocentric Scorer,14,914,8,71,0,0,7,0,26.7,29.7,36.0,43.7,37.8,4.0,4.4,0.518,0.28,0.266,49,46,36,0.5,37,36,30,34.333333333333336,18.787233367199672,23,-11.333333333333336
Moses Malone,2,1980-1989,1,Two-Way Paint Beast,19,1329,12,94,3,1,8,1,20.6,22.1,34.8,48.2,36.5,3.1,3.4,0.569,0.274,0.26,19,24,21,0.42105263157894735,15,20,17,17.333333333333332,16.824941688669114,24,6.666666666666668
Dwyane Wade,5,2010-2019,0,Heliocentric Scorer,16,1054,13,177,3,1,8,3,22.0,22.3,32.8,42.4,34.4,3.3,3.6,0.554,0.264,0.251,27,25,23,0.5,21,21,19,20.33333333333333,15.015921634334477,25,4.666666666666671
Scottie Pippen,3,1990-1999,2,Point Forward / Playmaker,17,1178,16,208,6,0,7,10,16.1,17.5,28.9,37.3,30.3,2.4,2.6,0.536,0.244,0.232,30,31,28,0.4117647058823529,23,26,23,24.0,13.81308400175464,26,2.0
Anthony Davis,6,2020-2029,1,Two-Way Paint Beast,14,807,6,60,1,0,5,5,24.0,26.1,42.0,45.4,44.1,3.6,4.0,0.591,0.31,0.294,57,39,45,0.35714285714285715,45,31,34,36.66666666666666,13.51757068078754,27,-9.666666666666657
Joel Embiid,6,2020-2029,1,Two-Way Paint Beast,10,490,8,66,0,0,5,3,27.6,24.8,45.3,49.9,47.6,4.1,4.5,0.613,0.326,0.31,41,61,66,0.5,31,48,53,44.0,13.319656762376868,28,-16.0
Julius Erving,2,1980-1989,2,Point Forward / Playmaker,11,836,11,141,3,0,7,0,22.0,21.9,34.9,38.8,36.6,3.3,3.6,0.558,0.274,0.26,15,11,20,0.6363636363636364,12,9,16,12.333333333333334,12.950855257010184,29,16.666666666666664
Damian Lillard,5,2010-2019,0,Heliocentric Scorer,13,900,10,68,0,0,7,0,25.1,25.2,40.3,44.4,42.3,3.8,4.2,0.59,0.302,0.287,65,67,64,0.5384615384615384,50,54,51,51.66666666666666,12.711129211283842,30,-21.666666666666657
Kawhi Leonard,5,2010-2019,2,Point Forward / Playmaker,14,798,12,146,2,2,6,7,20.7,21.5,33.8,40.9,35.5,3.1,3.4,0.607,0.269,0.256,35,26,32,0.42857142857142855,27,22,26,25.0,10.91813334376051,31,6.0
Russell Westbrook,5,2010-2019,0,Heliocentric Scorer,18,1301,14,135,0,0,9,0,20.9,22.5,37.5,49.6,39.4,3.1,3.4,0.526,0.288,0.274,47,38,48,0.5,35,30,37,34.0,9.362244427169435,32,-2.0
Dominique Wilkins,3,1990-1999,0,Heliocentric Scorer,15,1074,10,56,0,0,7,0,24.8,25.4,37.1,42.8,39.0,3.7,4.1,0.536,0.286,0.272,54,79,50,0.4666666666666667,42,63,39,48.0,8.957014496343769,33,-15.0
Jayson Tatum,6,2020-2029,2,Point Forward / Playmaker,9,601,9,127,1,0,4,0,23.5,24.2,39.4,45.2,41.4,3.5,3.9,0.582,0.297,0.282,91,63,93,0.4444444444444444,69,50,73,64.0,7.819393477912599,34,-30.0
Patrick Ewing,3,1990-1999,1,Two-Way Paint Beast,17,1183,14,139,0,0,7,3,21.0,20.2,35.0,43.1,36.8,3.2,3.5,0.553,0.275,0.261,38,56,40,0.4117647058823529,29,43,32,34.666666666666664,7.264666021539862,35,0.3333333333333357
Gary Payton,3,1990-1999,3,Floor General / Facilitator,17,1335,15,154,1,0,9,9,16.3,14.0,30.3,40.2,31.8,2.4,2.6,0.528,0.252,0.239,50,41,53,0.5294117647058824,38,33,42,37.66666666666666,6.307783609194603,36,-1.6666666666666572
Chris Paul,5,2010-2019,3,Floor General / Facilitator,21,1370,15,149,0,0,11,9,16.8,20.0,32.7,38.3,34.3,2.5,2.8,0.58,0.264,0.251,31,23,30,0.5238095238095238,24,19,25,22.666666666666668,5.966880780916245,37,14.333333333333332
John Stockton,3,1990-1999,3,Floor General / Facilitator,19,1504,19,182,0,0,11,5,13.1,13.4,28.1,35.8,29.5,2.0,2.2,0.608,0.241,0.229,33,27,29,0.5789473684210527,25,23,24,24.0,5.10869933955089,38,14.0
Clyde Drexler,3,1990-1999,3,Floor General / Facilitator,15,1086,15,145,1,0,5,0,20.4,20.4,35.5,41.8,37.3,3.1,3.4,0.547,0.277,0.263,44,49,39,0.3333333333333333,34,38,31,34.333333333333336,1.9088183334611037,39,4.666666666666664
Paul Pierce,4,2000-2009,2,Point Forward / Playmaker,19,1343,14,170,1,1,4,0,19.7,18.7,30.2,39.0,31.7,3.0,3.3,0.568,0.251,0.238,51,51,49,0.21052631578947367,39,40,38,39.0,-0.5299515589863818,40,1.0
Kyrie Irving,5,2010-2019,0,Heliocentric Scorer,14,779,7,96,1,0,3,0,23.7,23.0,38.2,42.7,40.1,3.6,4.0,0.584,0.291,0.276,80,76,69,0.21428571428571427,60,61,56,59.0,-2.5098130934419745,41,-18.0
Dwight Howard,5,2010-2019,0,Heliocentric Scorer,18,1242,12,125,1,0,8,5,15.7,15.3,30.7,39.4,32.2,2.4,2.6,0.602,0.254,0.241,56,35,52,0.4444444444444444,44,27,41,37.333333333333336,-3.013359852423866,42,4.666666666666664
Adrian Dantley,2,1980-1989,0,Heliocentric Scorer,15,955,7,73,0,0,2,0,24.3,21.3,34.3,44.3,36.0,3.6,4.0,0.617,0.271,0.257,101,82,84,0.13333333333333333,80,65,67,70.66666666666667,-4.18457150835636,43,-27.66666666666667
Isiah Thomas,2,1980-1989,3,Floor General / Facilitator,13,979,9,111,2,1,5,0,19.2,20.4,33.6,38.7,35.3,2.9,3.2,0.516,0.268,0.255,25,40,27,0.38461538461538464,20,32,22,24.666666666666668,-4.241700539176117,44,19.333333333333332
Tony Parker,4,2000-2009,3,Floor General / Facilitator,18,1254,17,226,4,1,4,0,15.5,17.9,25.6,31.2,26.9,2.3,2.5,0.546,0.228,0.217,87,57,86,0.2222222222222222,67,44,68,59.66666666666666,-6.161598912821854,45,-14.666666666666657
Carmelo Anthony,5,2010-2019,0,Heliocentric Scorer,19,1260,13,83,0,0,6,0,22.5,23.1,34.7,40.4,36.4,3.4,3.7,0.543,0.274,0.26,66,88,60,0.3157894736842105,51,69,47,55.66666666666666,-6.607821262112195,46,-9.666666666666657
Chris Webber,4,2000-2009,1,Two-Way Paint Beast,15,831,10,80,0,0,2,0,20.7,18.7,35.1,43.7,36.9,3.1,3.4,0.513,0.276,0.262,68,100,90,0.13333333333333333,52,80,71,67.66666666666667,-6.754448426819644,47,-20.66666666666667
Ray Allen,4,2000-2009,4,Pure Sharpshooter / Off-Ball Weapon,18,1300,11,171,2,0,2,0,18.9,16.1,29.8,36.7,31.3,2.8,3.1,0.58,0.249,0.237,55,55,51,0.1111111111111111,43,42,40,41.66666666666666,-7.122631916121703,48,6.333333333333343
Jason Kidd,4,2000-2009,3,Floor General / Facilitator,19,1391,17,158,1,0,6,9,12.6,12.9,29.2,35.4,30.7,1.9,2.1,0.507,0.246,0.234,37,36,33,0.3157894736842105,28,28,27,27.666666666666668,-7.177323960966042,49,21.333333333333332
Steve Nash,4,2000-2009,3,Floor General / Facilitator,18,1217,12,120,0,0,7,0,14.3,17.3,26.2,33.6,27.5,2.1,2.3,0.605,0.231,0.219,39,37,35,0.3888888888888889,30,29,29,29.33333333333333,-8.320551899216957,50,20.66666666666667
Alex English,2,1980-1989,0,Heliocentric Scorer,15,1193,10,68,0,0,2,0,21.5,24.4,34.6,42.6,36.3,3.2,3.5,0.55,0.273,0.259,79,101,76,0.13333333333333333,59,83,59,67.0,-9.010421962210687,51,-16.0
Kevin McHale,2,1980-1989,5,Defensive Anchor / Glass Cleaner,13,971,13,169,3,0,1,6,17.9,18.8,30.0,37.6,31.5,2.7,3.0,0.605,0.25,0.238,52,50,46,0.07692307692307693,40,39,35,38.0,-10.409068379396476,52,14.0
Bob McAdoo,1,1970-1979,0,Heliocentric Scorer,14,852,9,94,0,0,2,0,22.1,18.3,26.2,38.9,27.5,3.3,3.6,0.551,0.231,0.219,58,71,61,0.14285714285714285,46,56,48,50.0,-10.56450728691883,53,3.0
Tracy McGrady,4,2000-2009,0,Heliocentric Scorer,15,938,9,50,0,0,2,0,19.6,22.2,29.1,44.6,30.6,2.9,3.2,0.519,0.246,0.234,60,58,59,0.13333333333333333,48,45,46,46.333333333333336,-10.86356940011747,54,7.666666666666664
Shai Gilgeous-Alexander,6,2020-2029,0,Heliocentric Scorer,8,530,5,55,0,0,2,0,25.3,26.2,39.8,46.2,41.8,3.8,4.2,0.616,0.299,0.284,101,48,101,0.25,85,37,79,67.0,-11.68366711666762,55,-12.0
Nate Archibald,1,1970-1979,0,Heliocentric Scorer,13,876,5,47,1,0,5,0,18.8,14.2,20.6,22.1,21.6,2.8,3.1,0.543,0.203,0.193,70,96,80,0.38461538461538464,53,76,63,64.0,-12.247849363976302,56,-8.0
Artis Gilmore,2,1980-1989,1,Two-Way Paint Beast,12,909,6,42,1,0,5,5,17.1,11.7,27.1,36.5,28.5,2.6,2.9,0.643,0.236,0.224,94,44,100,0.4166666666666667,71,35,77,61.0,-13.73853305363099,57,-4.0
James Worthy,3,1990-1999,2,Point Forward / Playmaker,12,926,9,143,3,1,2,0,17.6,21.1,28.6,33.3,30.0,2.6,2.9,0.559,0.243,0.231,59,72,63,0.16666666666666666,47,57,50,51.333333333333336,-13.850173048299439,58,6.666666666666664
Bernard King,3,1990-1999,0,Heliocentric Scorer,14,874,5,28,0,0,2,0,22.5,24.5,32.4,37.1,34.0,3.4,3.7,0.561,0.262,0.249,92,101,97,0.14285714285714285,70,84,75,76.33333333333333,-14.892429790880067,59,-17.33333333333333
Amar'e Stoudemire,4,2000-2009,0,Heliocentric Scorer,14,846,10,78,0,0,2,0,18.9,18.7,27.5,36.9,28.9,2.8,3.1,0.597,0.238,0.226,101,93,101,0.14285714285714285,78,74,85,79.0,-15.043508546537868,60,-19.0
Reggie Miller,3,1990-1999,4,Pure Sharpshooter / Off-Ball Weapon,18,1389,15,144,0,0,3,0,18.2,20.6,26.8,31.9,28.1,2.7,3.0,0.614,0.234,0.222,48,65,54,0.16666666666666666,36,52,43,43.66666666666666,-16.282759060717996,61,17.333333333333343
Vince Carter,4,2000-2009,0,Heliocentric Scorer,22,1541,11,88,0,0,2,0,16.7,18.1,26.6,39.0,27.9,2.5,2.8,0.536,0.233,0.221,85,95,65,0.09090909090909091,65,75,52,64.0,-17.458917659702447,62,-2.0
Pau Gasol,5,2010-2019,2,Point Forward / Playmaker,18,1226,12,136,2,0,4,0,17.0,15.4,30.1,35.8,31.6,2.6,2.9,0.565,0.251,0.238,78,54,62,0.2222222222222222,58,41,49,49.333333333333336,-17.7928510328837,63,13.666666666666664
Manu Ginobili,4,2000-2009,4,Pure Sharpshooter / Off-Ball Weapon,16,1057,15,218,4,0,2,0,13.3,14.0,22.1,28.1,23.2,2.0,2.2,0.582,0.211,0.2,82,62,75,0.125,62,49,58,56.333333333333336,-19.073406230462936,64,7.666666666666664
Grant Hill,4,2000-2009,2,Point Forward / Playmaker,18,1026,8,39,0,0,2,0,16.7,13.4,28.2,39.6,29.6,2.5,2.8,0.551,0.241,0.229,84,91,79,0.1111111111111111,64,72,62,66.0,-19.721837315228495,65,-1.0
Robert Parish,2,1980-1989,5,Defensive Anchor / Glass Cleaner,21,1611,16,184,4,0,2,0,14.5,15.3,27.4,34.5,28.8,2.2,2.4,0.571,0.237,0.225,71,68,68,0.09523809523809523,54,55,55,54.66666666666666,-20.042979471144594,66,11.333333333333343
Paul George,5,2010-2019,2,Point Forward / Playmaker,16,945,12,125,0,0,2,0,20.5,20.8,32.0,39.0,33.6,3.1,3.4,0.571,0.26,0.247,72,75,78,0.125,55,60,61,58.66666666666666,-20.27735331249444,67,8.333333333333343
Bob Lanier,2,1980-1989,1,Two-Way Paint Beast,14,959,9,67,0,0,2,0,20.1,18.6,30.5,36.3,32.0,3.0,3.3,0.559,0.252,0.239,101,101,82,0.14285714285714285,86,86,65,79.0,-21.9802716104081,68,-11.0
Chris Bosh,5,2010-2019,2,Point Forward / Playmaker,13,893,6,89,2,0,0,0,19.2,15.6,33.4,39.4,35.1,2.9,3.2,0.571,0.267,0.254,86,90,71,0.0,66,71,57,64.66666666666667,-23.63902777069679,69,4.333333333333329
Chauncey Billups,4,2000-2009,3,Floor General / Facilitator,17,1043,12,146,0,0,2,0,15.2,17.3,23.9,30.3,25.1,2.3,2.5,0.58,0.22,0.209,101,59,91,0.11764705882352941,84,46,72,67.33333333333333,-25.02579922624656,70,2.6666666666666714
Alonzo Mourning,3,1990-1999,1,Two-Way Paint Beast,15,838,11,95,0,0,2,0,17.1,13.6,25.2,35.7,26.5,2.6,2.9,0.583,0.226,0.215,75,85,87,0.13333333333333333,57,66,69,64.0,-25.278141629323628,71,7.0
Jimmy Butler,6,2020-2029,2,Point Forward / Playmaker,15,907,12,130,0,0,2,0,18.4,21.1,31.9,37.5,33.5,2.8,3.1,0.592,0.26,0.247,99,81,83,0.13333333333333333,73,64,66,67.66666666666667,-25.806150114696667,72,4.333333333333329
Joe Dumars,3,1990-1999,3,Floor General / Facilitator,14,1018,10,112,0,1,2,0,16.1,15.6,24.7,30.2,25.9,2.4,2.6,0.554,0.224,0.213,101,101,96,0.14285714285714285,87,87,74,82.66666666666667,-30.28696033104541,73,-9.666666666666671
Sidney Moncrief,2,1980-1989,5,Defensive Anchor / Glass Cleaner,11,767,11,93,0,0,2,0,15.6,16.0,25.6,34.7,26.9,2.3,2.5,0.591,0.228,0.217,95,86,101,0.18181818181818182,72,67,86,75.0,-31.78133992857193,74,-1.0
Klay Thompson,5,2010-2019,4,Pure Sharpshooter / Off-Ball Weapon,13,934,9,158,0,0,2,0,18.6,19.2,27.1,31.1,28.5,2.8,3.1,0.571,0.236,0.224,101,101,98,0.15384615384615385,88,88,76,84.0,-31.88026204801967,75,-9.0
Pete Maravich,2,1980-1989,0,Heliocentric Scorer,10,658,4,26,0,0,2,0,24.2,18.7,25.5,25.5,26.8,3.6,4.0,0.5,0.228,0.217,81,101,77,0.2,61,82,60,67.66666666666667,-32.622898633545255,76,8.333333333333329
Rudy Gobert,6,2020-2029,5,Defensive Anchor / Glass Cleaner,13,905,10,96,0,0,2,0,12.5,11.6,28.1,33.3,29.5,1.9,2.1,0.672,0.241,0.229,101,64,101,0.15384615384615385,83,51,78,70.66666666666667,-34.738334585656716,77,6.333333333333329
Spencer Haywood,3,1990-1999,2,Point Forward / Playmaker,12,760,4,33,0,0,2,0,19.2,13.4,25.1,28.0,26.4,2.9,3.2,0.517,0.226,0.215,83,101,101,0.16666666666666666,63,81,87,77.0,-34.8965693240509,78,1.0
Horace Grant,3,1990-1999,5,Defensive Anchor / Glass Cleaner,17,1165,13,170,0,0,2,0,11.2,11.2,23.4,30.1,24.6,1.7,1.9,0.54,0.217,0.206,101,92,101,0.11764705882352941,79,73,84,78.66666666666667,-35.86754944917882,79,0.3333333333333286
Dikembe Mutombo,4,2000-2009,5,Defensive Anchor / Glass Cleaner,18,1196,13,101,0,0,2,0,9.8,9.1,22.0,29.2,23.1,1.5,1.6,0.573,0.21,0.199,101,73,81,0.1111111111111111,81,58,64,67.66666666666667,-36.61244523646924,80,12.333333333333329
Dennis Johnson,2,1980-1989,3,Floor General / Facilitator,14,1100,13,180,0,0,2,0,14.1,17.3,25.4,28.5,26.7,2.1,2.3,0.511,0.227,0.216,88,101,101,0.14285714285714285,68,85,88,80.33333333333333,-38.38607087032302,81,0.6666666666666714
Bill Walton,3,1990-1999,0,Heliocentric Scorer,10,468,4,49,0,0,2,0,13.3,10.8,24.0,28.9,25.2,2.0,2.2,0.551,0.22,0.209,74,87,55,0.2,56,68,44,56.0,-38.424592063148914,82,26.0
Al Horford,5,2010-2019,2,Point Forward / Playmaker,19,1183,16,197,0,0,2,0,12.7,11.9,26.5,31.0,27.8,1.9,2.1,0.573,0.232,0.22,101,97,101,0.10526315789473684,77,77,83,79.0,-39.76753877687015,83,4.0
Kyle Lowry,5,2010-2019,3,Floor General / Facilitator,20,1187,12,138,0,0,2,0,13.8,13.3,22.9,33.9,24.0,2.1,2.3,0.569,0.214,0.203,101,98,101,0.1,76,78,82,78.66666666666667,-40.657559903913224,84,5.333333333333329
Dennis Rodman,3,1990-1999,5,Defensive Anchor / Glass Cleaner,14,911,11,169,0,0,2,0,7.3,6.4,24.2,29.3,25.4,1.1,1.2,0.546,0.221,0.21,64,89,67,0.14285714285714285,49,70,54,57.66666666666666,-41.090241079046585,85,27.333333333333343
Marc Gasol,5,2010-2019,5,Defensive Anchor / Glass Cleaner,13,891,9,99,0,0,2,0,14.0,13.4,26.9,32.1,28.2,2.1,2.3,0.557,0.234,0.222,101,99,101,0.15384615384615385,75,79,81,78.33333333333333,-41.3416465046156,86,7.666666666666671
Draymond Green,6,2020-2029,5,Defensive Anchor / Glass Cleaner,14,949,10,169,0,0,2,0,8.7,11.4,22.6,27.4,23.7,1.3,1.4,0.541,0.213,0.202,100,77,88,0.14285714285714285,74,62,70,68.66666666666667,-47.13001075581743,87,18.33333333333333
Ben Wallace,4,2000-2009,5,Defensive Anchor / Glass Cleaner,16,1088,8,130,0,0,2,0,5.7,7.2,17.5,26.0,18.4,0.9,1.0,0.474,0.188,0.179,101,66,101,0.125,82,53,80,71.66666666666667,-51.72823848744306,88,16.33333333333333
