Player_Name,Context_Length,Respect_Score,Failings_Score,Positive_Attitude_Score,Negative_Attitude_Score
Kyrie Irving,6966,87.851,86.939,85.978,85.991
Pete Maravich,2473,89.262,88.269,87.432,87.428
Manu Ginobili,419,94.566,93.022,93.149,92.463
Spencer Haywood,423,94.44,91.727,92.112,90.925
Grant Hill,6719,87.592,86.055,85.688,85.101
Vince Carter,5447,89.587,88.177,87.491,87.437
Chris Bosh,6548,88.289,87.067,86.276,86.136
Tony Parker,3407,87.984,87.0,86.069,86.198
Dennis Johnson,3304,88.543,87.731,86.798,86.717
Paul Arizin,488,94.308,91.849,92.049,90.941
Nate Thurmond,2081,86.936,85.359,84.647,84.428
Jayson Tatum,3857,88.77,87.86,86.842,86.939
Bernard King,1233,88.968,87.094,86.675,86.23
Bill Sharman,3926,88.675,87.296,86.846,86.474
Artis Gilmore,5419,87.882,86.463,85.718,85.488
Sidney Moncrief,1748,86.015,84.992,84.029,84.019
Lenny Wilkens,3793,87.998,86.499,85.763,85.58
Dave DeBusschere,1631,85.192,83.223,82.582,82.231
Dave Bing,5417,88.424,87.189,86.416,86.266
Jimmy Butler,2288,88.592,87.656,86.827,86.835
Draymond Green,4501,87.033,85.306,85.008,84.31
Marc Gasol,2060,85.53,84.868,83.95,84.071
Kyle Lowry,3725,88.46,87.144,86.355,86.048
Al Horford,1908,84.887,83.738,82.814,82.798
Amar'e Stoudemire,3414,88.286,87.29,86.421,86.448
Horace Grant,1486,87.032,85.337,85.092,84.497
Adrian Dantley,1625,86.476,84.784,84.1,83.986
Dikembe Mutombo,3350,88.098,87.043,86.39,86.252
Ben Wallace,2865,87.704,86.407,85.566,85.41
Rudy Gobert,3644,89.37,88.672,87.684,87.895
Chauncey Billups,3702,87.014,85.835,85.099,84.829
Shai Gilgeous-Alexander,4294,87.198,86.078,85.295,85.203
Bob Lanier,1319,88.109,86.268,85.646,85.289
Joe Dumars,2287,86.722,85.575,84.793,84.698
Klay Thompson,5980,87.899,86.368,85.931,85.488
